[ 2025-07-25 20:57:53,375 ] 46 root - INFO - successfully created transformer objects

[ 2025-07-25 20:57:53,627 ] 93 root - INFO - Applied transformer on data
[ 2025-07-25 20:57:53,689 ] 105 root - INFO - converted array
[ 2025-07-25 20:57:53,705 ] 113 root - INFO - Piplines are saved

[ 2025-07-25 20:57:53,720 ] 23 root - INFO - Entered into Model Training
[ 2025-07-25 20:57:53,720 ] 26 root - INFO - Split train and test data 
[ 2025-07-25 20:57:53,720 ] 40 root - INFO - Model created 
[ 2025-07-25 20:57:53,739 ] 17 root - INFO - Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\src\components\model_training.py on line number 41 error messgae y should be a 1d array, got an array of shape (21496, 501) instead.
[ 2025-07-25 20:57:53,739 ] 17 root - INFO - Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\main.py on line number 28 error messgae Error occured in python script name at G:\RealtimeProjects\Tut End to End ML\src\components\model_training.py on line number 41 error messgae y should be a 1d array, got an array of shape (21496, 501) instead.
